X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,44.36000,44.36000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,44.36000,44.36000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,62.10000,62.10000
0.00000,0.70000,0.00000,0.03000,0.03000,2.96000,2.96000,62.10000,62.10000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,79.43000,79.43000
0.00000,0.70000,0.00000,0.00000,0.00000,2.96000,2.96000,79.43000,79.43000
0.00000,0.70000,0.00000,0.06000,0.00000,2.96000,2.96000,97.42000,97.42000
0.00000,0.70000,0.03000,1.76000,0.03000,2.95000,2.96000,97.42000,97.42000
0.01000,0.70000,0.09000,2.93000,0.00000,2.74000,2.91000,85.51000,114.06000
0.01000,0.70000,0.14000,2.90000,0.00000,2.35000,2.70000,85.51000,114.06000
0.01000,0.70000,0.19000,2.68000,0.00000,1.85000,2.42000,61.01000,124.43000
0.01000,0.70000,0.22000,1.73000,0.03000,1.37000,2.28000,61.01000,124.43000
0.02000,0.70000,0.20000,0.78000,1.95000,1.17000,2.23000,62.10000,135.61000
0.02000,0.70000,0.13000,0.45000,4.12000,1.29000,2.26000,62.10000,135.61000
0.03000,0.70000,0.04000,0.14000,4.93000,1.92000,2.45000,89.18000,90.69000
0.03000,0.70000,-0.01000,0.95000,3.96000,2.64000,2.87000,89.18000,90.69000
0.04000,0.70000,-0.02000,2.37000,2.87000,2.95000,2.90000,105.99000,89.95000
0.05000,0.70000,-0.01000,3.34000,2.48000,2.94000,2.84000,105.99000,89.95000
0.05000,0.70000,0.03000,4.01000,2.20000,2.96000,2.95000,82.14000,106.42000
0.06000,0.70000,0.04000,3.46000,2.73000,2.75000,2.91000,82.14000,106.42000
0.07000,0.70000,0.03000,2.76000,3.29000,2.65000,2.88000,73.61000,104.43000
0.07000,0.70000,0.01000,2.15000,3.40000,2.72000,2.90000,73.61000,104.43000
0.08000,0.70000,-0.02000,1.78000,3.40000,2.87000,2.95000,91.71000,96.32000
0.08000,0.70000,-0.04000,2.34000,3.15000,2.94000,2.84000,91.71000,96.32000
0.09000,0.70000,-0.03000,2.93000,2.87000,2.91000,2.74000,93.77000,94.32000
0.10000,0.70000,-0.03000,3.20000,2.76000,2.92000,2.75000,93.77000,94.32000
0.10000,0.70000,-0.01000,3.34000,2.62000,2.93000,2.80000,84.54000,98.64000
0.11000,0.70000,-0.01000,3.06000,2.70000,2.95000,2.89000,84.54000,98.64000
0.12000,0.70000,-0.01000,2.79000,2.81000,2.96000,2.94000,85.35000,101.73000
0.12000,0.70000,-0.01000,2.70000,2.95000,2.96000,2.93000,85.35000,101.73000
0.13000,0.70000,-0.02000,2.70000,3.09000,2.95000,2.90000,90.07000,98.85000
0.14000,0.70000,-0.02000,2.87000,3.06000,2.94000,2.85000,90.07000,98.85000
0.14000,0.70000,-0.02000,3.04000,2.95000,2.94000,2.83000,88.85000,95.76000
0.15000,0.70000,-0.02000,3.01000,2.84000,2.94000,2.84000,88.85000,95.76000
0.16000,0.70000,-0.02000,2.90000,2.73000,2.94000,2.86000,87.27000,98.11000
0.16000,0.70000,-0.01000,2.87000,2.79000,2.95000,2.88000,87.27000,98.11000
0.17000,0.70000,-0.01000,2.81000,2.84000,2.95000,2.89000,89.03000,99.46000
0.17000,0.70000,-0.02000,2.84000,2.90000,2.95000,2.88000,89.03000,99.46000
0.18000,0.70000,-0.02000,2.93000,2.95000,2.95000,2.87000,89.89000,98.21000
0.19000,0.70000,-0.02000,2.93000,2.93000,2.95000,2.87000,89.89000,98.21000
0.19000,0.70000,-0.01000,2.98000,2.87000,2.95000,2.87000,89.26000,97.58000
0.20000,0.70000,-0.01000,2.95000,2.81000,2.95000,2.88000,89.26000,97.58000
0.21000,0.70000,-0.01000,2.95000,2.79000,2.95000,2.90000,89.04000,99.36000
0.21000,0.70000,-0.01000,2.98000,2.84000,2.95000,2.92000,89.04000,99.36000
0.22000,0.70000,-0.00000,3.01000,2.95000,2.96000,2.94000,88.68000,100.01000
0.23000,0.70000,-0.01000,2.98000,3.01000,2.96000,2.94000,88.68000,100.01000
0.23000,0.70000,-0.01000,2.93000,3.07000,2.96000,2.94000,88.52000,98.11000
0.24000,0.70000,-0.01000,2.93000,2.95000,2.95000,2.92000,88.52000,98.11000
0.25000,0.70000,-0.01000,2.93000,2.93000,2.95000,2.92000,89.18000,98.21000
0.25000,0.70000,-0.01000,2.95000,2.93000,2.95000,2.92000,89.18000,98.21000
0.26000,0.70000,-0.01000,2.98000,2.90000,2.95000,2.92000,88.94000,98.47000
0.27000,0.70000,-0.01000,2.95000,2.90000,2.96000,2.93000,88.94000,98.47000
0.27000,0.70000,-0.01000,2.93000,2.93000,2.96000,2.94000,88.96000,99.10000
0.28000,0.70000,-0.00000,2.95000,2.90000,2.96000,2.94000,88.96000,99.10000
0.29000,0.70000,-0.00000,2.93000,2.93000,2.96000,2.94000,88.98000,99.44000
0.29000,0.70000,-0.00000,2.98000,2.90000,2.96000,2.94000,88.98000,99.44000
0.30000,0.70000,-0.00000,2.98000,2.93000,2.96000,2.95000,88.59000,99.86000
0.31000,0.70000,-0.00000,3.04000,2.95000,2.95000,2.96000,88.59000,99.86000
0.31000,0.70000,0.00000,3.04000,3.01000,2.94000,2.96000,87.42000,99.40000
0.32000,0.70000,-0.00000,2.98000,3.07000,2.94000,2.96000,87.42000,99.40000
0.33000,0.70000,-0.00000,2.95000,3.04000,2.95000,2.96000,87.79000,97.75000
0.33000,0.70000,-0.00000,2.95000,3.01000,2.96000,2.95000,87.79000,97.75000
0.34000,0.70000,-0.00000,2.90000,2.93000,2.96000,2.95000,88.11000,97.80000
0.35000,0.70000,-0.00000,2.95000,2.93000,2.96000,2.94000,88.11000,97.80000
0.35000,0.70000,-0.00000,3.01000,2.90000,2.96000,2.95000,88.13000,98.68000
0.36000,0.70000,-0.00000,3.01000,2.93000,2.95000,2.96000,88.13000,98.68000
0.37000,0.70000,0.00000,3.01000,2.98000,2.94000,2.96000,87.13000,98.95000
0.37000,0.70000,-0.00000,2.93000,2.98000,2.94000,2.96000,87.13000,98.95000
0.38000,0.70000,-0.00000,2.93000,2.98000,2.95000,2.96000,88.04000,98.30000
0.39000,0.70000,-0.00000,2.93000,2.95000,2.95000,2.96000,88.04000,98.30000
0.39000,0.70000,-0.00000,2.95000,2.98000,2.96000,2.96000,88.32000,98.58000
0.40000,0.70000,-0.00000,2.98000,3.01000,2.96000,2.95000,88.32000,98.58000
0.41000,0.70000,-0.00000,2.98000,3.01000,2.96000,2.95000,87.67000,97.68000
0.41000,0.70000,-0.00000,2.98000,3.01000,2.96000,2.95000,87.67000,97.68000
0.42000,0.70000,-0.00000,2.93000,2.95000,2.96000,2.94000,87.52000,97.23000
0.43000,0.70000,-0.01000,2.90000,2.95000,2.96000,2.94000,87.52000,97.23000
0.43000,0.70000,-0.01000,2.90000,2.93000,2.96000,2.93000,88.60000,97.51000
0.44000,0.70000,-0.01000,2.95000,2.95000,2.95000,2.93000,88.60000,97.51000
0.45000,0.70000,-0.01000,3.01000,2.95000,2.95000,2.93000,88.11000,97.33000
0.45000,0.70000,-0.00000,3.01000,2.98000,2.96000,2.94000,88.11000,97.33000
0.46000,0.70000,-0.00000,2.98000,2.93000,2.96000,2.94000,87.30000,96.92000
0.47000,0.70000,-0.00000,2.98000,2.90000,2.96000,2.95000,87.30000,96.92000
0.47000,0.70000,0.00000,2.93000,2.79000,2.96000,2.96000,87.42000,98.16000
0.48000,0.70000,0.00000,2.90000,2.79000,2.94000,2.96000,87.42000,98.16000
0.49000,0.70000,0.00000,2.93000,2.87000,2.93000,2.95000,88.09000,100.16000
0.49000,0.70000,0.00000,3.01000,2.98000,2.92000,2.95000,88.09000,100.16000
0.50000,0.70000,0.00000,3.09000,3.06000,2.92000,2.95000,86.44000,98.24000
0.51000,0.70000,0.00000,2.98000,3.06000,2.91000,2.95000,86.44000,98.24000
0.51000,0.70000,0.00000,2.93000,3.01000,2.92000,2.95000,86.39000,96.83000
0.52000,0.70000,0.00000,2.93000,2.87000,2.93000,2.96000,86.39000,96.83000
0.53000,0.70000,0.00000,2.87000,2.84000,2.93000,2.95000,86.91000,99.09000
0.53000,0.70000,0.00000,2.81000,2.90000,2.92000,2.95000,86.91000,99.09000
0.54000,0.70000,-0.00000,2.87000,2.98000,2.93000,2.96000,88.68000,99.19000
0.55000,0.70000,-0.00000,2.95000,3.01000,2.94000,2.96000,88.68000,99.19000
0.55000,0.70000,-0.00000,2.98000,3.04000,2.95000,2.96000,87.59000,97.90000
0.56000,0.70000,-0.00000,3.01000,2.95000,2.96000,2.96000,87.59000,97.90000
0.57000,0.70000,0.00000,2.98000,2.84000,2.95000,2.96000,86.75000,98.42000
0.57000,0.70000,0.00000,2.90000,2.79000,2.93000,2.96000,86.75000,98.42000
0.58000,0.70000,0.00000,2.87000,2.87000,2.92000,2.95000,87.60000,100.90000
0.58000,0.70000,0.00000,2.90000,2.98000,2.92000,2.95000,87.60000,100.90000
0.59000,0.70000,-0.00000,2.93000,3.04000,2.93000,2.95000,87.88000,99.01000
0.60000,0.70000,-0.00000,2.90000,3.09000,2.94000,2.96000,87.88000,99.01000
0.60000,0.70000,-0.01000,2.93000,3.06000,2.96000,2.95000,88.48000,97.08000
0.61000,0.70000,-0.01000,2.95000,2.95000,2.96000,2.93000,88.48000,97.08000
0.62000,0.70000,-0.00000,3.01000,2.90000,2.96000,2.93000,87.97000,98.04000
0.62000,0.70000,-0.00000,2.98000,2.95000,2.96000,2.94000,87.97000,98.04000
0.63000,0.70000,-0.00000,2.98000,2.98000,2.96000,2.95000,87.59000,98.16000
0.64000,0.70000,-0.00000,2.95000,2.98000,2.96000,2.95000,87.59000,98.16000
0.64000,0.70000,-0.01000,2.95000,3.04000,2.96000,2.94000,87.85000,97.65000
0.65000,0.70000,-0.01000,2.93000,2.95000,2.96000,2.93000,87.85000,97.65000
0.66000,0.70000,-0.01000,2.95000,2.87000,2.95000,2.93000,88.26000,97.62000
0.66000,0.70000,-0.00000,2.98000,2.84000,2.96000,2.94000,88.26000,97.62000
0.67000,0.70000,0.00000,3.01000,2.84000,2.96000,2.96000,87.64000,99.55000
0.68000,0.70000,0.00000,3.01000,2.95000,2.94000,2.96000,87.64000,99.55000
0.68000,0.70000,0.00000,3.04000,3.04000,2.93000,2.96000,86.70000,98.55000
0.69000,0.70000,-0.00000,2.95000,3.06000,2.93000,2.96000,86.70000,98.55000
0.70000,0.70000,-0.00000,2.95000,3.04000,2.94000,2.96000,87.26000,96.91000
0.70000,0.70000,-0.00000,2.98000,2.93000,2.95000,2.96000,87.26000,96.91000
0.71000,0.70000,0.00000,2.98000,2.84000,2.95000,2.96000,86.82000,98.35000
0.72000,0.70000,0.00000,2.95000,2.95000,2.93000,2.95000,86.82000,98.35000
0.72000,0.70000,-0.00000,2.90000,2.98000,2.93000,2.95000,86.77000,98.10000
0.73000,0.70000,-0.00000,2.90000,2.98000,2.94000,2.96000,86.77000,98.10000
0.74000,0.70000,-0.00000,2.90000,2.98000,2.95000,2.96000,87.75000,97.71000
0.74000,0.70000,-0.00000,2.95000,2.93000,2.96000,2.96000,87.75000,97.71000
0.75000,0.70000,-0.00000,2.98000,2.84000,2.95000,2.96000,87.31000,98.41000
0.76000,0.70000,0.00000,2.98000,2.81000,2.94000,2.96000,87.31000,98.41000
0.76000,0.70000,0.00000,2.95000,2.87000,2.92000,2.95000,86.33000,100.21000
0.77000,0.70000,0.01000,2.95000,2.93000,2.91000,2.95000,86.33000,100.21000
0.78000,0.70000,0.00000,2.93000,3.01000,2.90000,2.95000,86.11000,99.34000
0.78000,0.70000,0.00000,2.87000,3.01000,2.91000,2.95000,86.11000,99.34000
0.79000,0.70000,-0.00000,2.87000,3.01000,2.92000,2.95000,87.41000,98.29000
0.80000,0.70000,-0.00000,2.90000,2.93000,2.94000,2.96000,87.41000,98.29000
0.80000,0.70000,-0.00000,2.93000,2.93000,2.94000,2.96000,87.61000,99.24000
0.81000,0.70000,-0.00000,2.93000,2.93000,2.94000,2.96000,87.61000,99.24000
0.82000,0.70000,-0.00000,2.95000,2.95000,2.94000,2.96000,87.45000,99.43000
0.82000,0.70000,-0.00000,2.95000,2.90000,2.94000,2.96000,87.45000,99.43000
0.83000,0.70000,-0.00000,2.93000,2.95000,2.93000,2.96000,87.01000,100.02000
0.84000,0.70000,-0.00000,2.93000,2.95000,2.94000,2.96000,87.01000,100.02000
0.84000,0.70000,-0.00000,2.98000,2.95000,2.94000,2.96000,87.40000,99.54000
0.85000,0.70000,-0.00000,2.90000,2.95000,2.94000,2.96000,87.40000,99.54000
