X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,43.73000,43.73000
0.00000,0.70000,0.00000,0.03000,0.00000,2.92000,2.92000,43.73000,43.73000
0.00000,0.70000,0.00000,0.00000,0.00000,2.91000,2.92000,60.79000,61.22000
0.00000,0.70000,0.00000,0.00000,0.00000,2.91000,2.92000,60.79000,61.22000
0.00000,0.70000,0.00000,0.00000,0.00000,2.91000,2.92000,78.52000,78.71000
0.00000,0.70000,0.00000,0.03000,0.00000,2.91000,2.92000,78.52000,78.71000
0.00000,0.70000,0.00000,0.00000,0.03000,2.91000,2.92000,95.57000,96.20000
0.00000,0.70000,0.02000,1.26000,0.00000,2.91000,2.92000,95.57000,96.20000
0.00000,0.70000,0.04000,1.00000,0.00000,2.86000,2.91000,93.70000,113.64000
0.00000,0.70000,0.05000,0.53000,0.03000,2.82000,2.91000,93.70000,113.64000
0.00000,0.70000,0.04000,0.22000,0.56000,2.80000,2.91000,113.26000,130.61000
0.01000,0.70000,0.03000,0.64000,1.39000,2.81000,2.91000,113.26000,130.61000
0.01000,0.70000,0.03000,2.09000,1.95000,2.84000,2.91000,125.88000,127.45000
0.02000,0.70000,0.04000,3.29000,2.68000,2.84000,2.91000,125.88000,127.45000
0.03000,0.70000,0.06000,3.96000,3.29000,2.81000,2.91000,98.87000,117.26000
0.03000,0.70000,0.06000,3.96000,3.74000,2.78000,2.90000,98.87000,117.26000
0.04000,0.70000,0.06000,3.90000,3.82000,2.77000,2.90000,85.37000,102.67000
0.05000,0.70000,0.06000,3.23000,3.37000,2.77000,2.90000,85.37000,102.67000
0.06000,0.70000,0.06000,3.12000,3.07000,2.77000,2.90000,89.12000,103.11000
0.06000,0.70000,0.06000,2.93000,2.76000,2.77000,2.90000,89.12000,103.11000
0.07000,0.70000,0.06000,2.65000,2.59000,2.76000,2.90000,90.78000,109.45000
0.08000,0.70000,0.07000,2.76000,2.71000,2.76000,2.90000,90.78000,109.45000
0.08000,0.70000,0.06000,2.68000,2.76000,2.75000,2.90000,92.19000,111.11000
0.09000,0.70000,0.06000,2.65000,2.84000,2.76000,2.90000,92.19000,111.11000
0.09000,0.71000,0.05000,2.70000,3.04000,2.76000,2.90000,93.97000,110.22000
0.10000,0.71000,0.05000,2.90000,3.12000,2.78000,2.90000,93.97000,110.22000
0.11000,0.71000,0.05000,2.87000,3.15000,2.78000,2.90000,91.19000,106.42000
0.11000,0.71000,0.04000,2.84000,3.15000,2.79000,2.91000,91.19000,106.42000
0.12000,0.71000,0.03000,2.87000,3.29000,2.81000,2.91000,91.68000,104.74000
0.13000,0.71000,0.03000,2.96000,3.15000,2.82000,2.91000,91.68000,104.74000
0.13000,0.71000,0.03000,3.01000,2.96000,2.83000,2.91000,90.14000,103.31000
0.14000,0.71000,0.03000,2.70000,2.70000,2.83000,2.91000,90.14000,103.31000
0.15000,0.71000,0.03000,2.59000,2.59000,2.83000,2.91000,93.11000,108.55000
0.15000,0.71000,0.03000,2.37000,2.62000,2.83000,2.91000,93.11000,108.55000
0.16000,0.71000,0.02000,2.43000,2.68000,2.84000,2.91000,98.99000,111.03000
0.16000,0.71000,0.02000,2.57000,2.68000,2.85000,2.91000,98.99000,111.03000
0.17000,0.71000,0.02000,2.93000,2.93000,2.85000,2.91000,99.08000,111.95000
