X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE,,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-10600.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000,11136.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000,2748.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,0.36000,0.00000,3.02000,3.02000,45.32000,45.32000,-5712.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,0.20000,0.00000,2.99000,3.02000,57.60000,63.38000,-14312.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,0.14000,0.00000,2.98000,3.01000,57.60000,63.38000,-23028.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.02000,0.25000,0.00000,2.97000,3.01000,76.38000,81.42000,-31752.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.05000,1.78000,0.00000,2.95000,3.01000,76.38000,81.42000,25092.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.08000,1.67000,0.00000,2.83000,2.99000,66.55000,99.08000,16256.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.09000,0.81000,0.03000,2.73000,2.95000,66.55000,99.08000,7484.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.11000,0.92000,0.00000,2.68000,2.94000,85.26000,115.85000,-1228.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.11000,0.11000,0.03000,2.64000,2.92000,85.26000,115.85000,-10048.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.11000,0.00000,0.06000,2.63000,2.91000,106.20000,132.96000,-18888.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.10000,1.20000,1.87000,2.63000,2.91000,106.20000,132.96000,-27720.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.10000,1.81000,1.67000,2.67000,2.93000,105.53000,122.91000,28876.00000,,,,,,,,,,,,,,,,
0.02000,0.70000,0.10000,1.95000,2.09000,2.66000,2.93000,105.53000,122.91000,19876.00000,,,,,,,,,,,,,,,,
0.02000,0.70000,0.10000,2.54000,2.48000,2.66000,2.93000,103.01000,125.92000,10872.00000,,,,,,,,,,,,,,,,
0.03000,0.70000,0.10000,2.70000,2.76000,2.66000,2.93000,103.01000,125.92000,1868.00000,,,,,,,,,,,,,,,,
0.04000,0.70000,0.09000,2.40000,2.82000,2.66000,2.93000,95.93000,120.88000,-7044.00000,,,,,,,,,,,,,,,,
0.04000,0.70000,0.07000,2.17000,3.15000,2.68000,2.94000,95.93000,120.88000,-16012.00000,,,,,,,,,,,,,,,,
0.05000,0.70000,0.05000,2.23000,3.29000,2.73000,2.96000,104.72000,116.50000,-25032.00000,,,,,,,,,,,,,,,,
0.05000,0.70000,0.04000,2.54000,3.18000,2.79000,2.98000,104.72000,116.50000,31488.00000,,,,,,,,,,,,,,,,
0.06000,0.70000,0.05000,3.10000,2.84000,2.83000,2.99000,104.14000,115.36000,22456.00000,,,,,,,,,,,,,,,,
0.07000,0.71000,0.06000,3.43000,2.90000,2.82000,2.98000,104.14000,115.36000,13436.00000,,,,,,,,,,,,,,,,
0.08000,0.71000,0.07000,3.60000,3.04000,2.78000,2.97000,91.75000,118.18000,4400.00000,,,,,,,,,,,,,,,,
0.08000,0.71000,0.07000,3.46000,3.21000,2.75000,2.96000,91.75000,118.18000,-4520.00000,,,,,,,,,,,,,,,,
0.09000,0.71000,0.08000,3.48000,3.23000,2.73000,2.96000,86.70000,113.79000,-13540.00000,,,,,,,,,,,,,,,,
0.10000,0.71000,0.08000,3.01000,3.07000,2.71000,2.95000,86.70000,113.79000,-22528.00000,,,,,,,,,,,,,,,,
0.10000,0.71000,0.08000,3.35000,2.98000,2.72000,2.95000,88.80000,114.30000,-31584.00000,,,,,,,,,,,,,,,,
0.11000,0.71000,0.08000,3.09000,3.01000,2.69000,2.94000,88.80000,114.30000,24988.00000,,,,,,,,,,,,,,,,
0.12000,0.71000,0.08000,2.95000,3.07000,2.69000,2.94000,85.34000,114.26000,16004.00000,,,,,,,,,,,,,,,,
0.13000,0.71000,0.08000,3.15000,3.04000,2.69000,2.94000,85.34000,114.26000,6976.00000,,,,,,,,,,,,,,,,
0.13000,0.71000,0.08000,3.09000,3.01000,2.68000,2.94000,81.98000,113.37000,-1984.00000,,,,,,,,,,,,,,,,
0.14000,0.71000,0.08000,3.07000,3.07000,2.68000,2.93000,81.98000,113.37000,-10944.00000,,,,,,,,,,,,,,,,
0.15000,0.71000,0.09000,3.32000,3.10000,2.67000,2.93000,80.31000,112.30000,-19968.00000,,,,,,,,,,,,,,,,
0.15000,0.71000,0.08000,2.65000,3.01000,2.66000,2.93000,80.31000,112.30000,-28936.00000,,,,,,,,,,,,,,,,
0.16000,0.71000,0.08000,3.07000,2.93000,2.68000,2.93000,84.26000,112.35000,27592.00000,,,,,,,,,,,,,,,,
0.17000,0.71000,0.09000,3.09000,2.90000,2.67000,2.93000,84.26000,112.35000,18648.00000,,,,,,,,,,,,,,,,
0.17000,0.71000,0.09000,2.84000,2.84000,2.65000,2.92000,77.42000,113.43000,9604.00000,,,,,,,,,,,,,,,,
0.18000,0.71000,0.08000,2.15000,2.82000,2.65000,2.92000,77.42000,113.43000,716.00000,,,,,,,,,,,,,,,,
0.18000,0.71000,0.07000,2.51000,2.73000,2.68000,2.94000,89.44000,115.02000,-8168.00000,,,,,,,,,,,,,,,,
0.19000,0.71000,0.07000,2.70000,2.76000,2.69000,2.94000,89.44000,115.02000,-17092.00000,,,,,,,,,,,,,,,,
0.20000,0.72000,0.06000,2.48000,2.87000,2.70000,2.94000,84.47000,116.66000,-26052.00000,,,,,,,,,,,,,,,,
0.20000,0.72000,0.06000,2.93000,3.04000,2.72000,2.95000,84.47000,116.66000,30532.00000,,,,,,,,,,,,,,,,
0.21000,0.72000,0.07000,3.54000,3.01000,2.72000,2.95000,81.45000,113.73000,21496.00000,,,,,,,,,,,,,,,,
0.22000,0.72000,0.07000,2.95000,3.09000,2.69000,2.94000,81.45000,113.73000,12500.00000,,,,,,,,,,,,,,,,
0.22000,0.72000,0.06000,2.68000,3.18000,2.69000,2.94000,79.39000,112.22000,3468.00000,,,,,,,,,,,,,,,,
0.23000,0.72000,0.05000,2.34000,2.96000,2.72000,2.95000,79.39000,112.22000,-5468.00000,,,,,,,,,,,,,,,,
0.24000,0.72000,0.04000,2.43000,3.12000,2.75000,2.96000,87.90000,113.72000,-14416.00000,,,,,,,,,,,,,,,,
0.24000,0.72000,0.04000,3.26000,3.07000,2.79000,2.98000,87.90000,113.72000,-23448.00000,,,,,,,,,,,,,,,,
0.25000,0.72000,0.04000,2.76000,2.96000,2.78000,2.97000,76.95000,112.22000,-32428.00000,,,,,,,,,,,,,,,,
0.25000,0.72000,0.04000,2.70000,2.70000,2.79000,2.98000,76.95000,112.22000,24084.00000,,,,,,,,,,,,,,,,
0.26000,0.72000,0.03000,1.98000,2.57000,2.79000,2.97000,82.54000,117.12000,15160.00000,,,,,,,,,,,,,,,,
0.27000,0.72000,0.02000,2.48000,2.57000,2.82000,2.98000,82.54000,117.12000,6196.00000,,,,,,,,,,,,,,,,
0.27000,0.72000,0.03000,2.76000,2.51000,2.83000,2.98000,86.96000,120.98000,-2712.00000,,,,,,,,,,,,,,,,
0.28000,0.72000,0.04000,2.87000,2.51000,2.81000,2.98000,86.96000,120.98000,-11644.00000,,,,,,,,,,,,,,,,
0.28000,0.72000,0.04000,2.73000,2.73000,2.79000,2.97000,82.57000,124.19000,-20668.00000,,,,,,,,,,,,,,,,
0.29000,0.72000,0.04000,2.79000,2.79000,2.78000,2.97000,82.57000,124.19000,-29588.00000,,,,,,,,,,,,,,,,
0.30000,0.72000,0.04000,2.90000,2.84000,2.78000,2.97000,83.26000,122.79000,26956.00000,,,,,,,,,,,,,,,,
0.30000,0.72000,0.04000,3.15000,2.90000,2.78000,2.97000,83.26000,122.79000,17944.00000,,,,,,,,,,,,,,,,
0.31000,0.72000,0.04000,2.93000,2.93000,2.76000,2.97000,77.43000,122.11000,8976.00000,,,,,,,,,,,,,,,,
0.32000,0.72000,0.04000,3.15000,2.98000,2.76000,2.97000,77.43000,122.11000,92.00000,,,,,,,,,,,,,,,,
0.32000,0.72000,0.04000,2.62000,2.84000,2.74000,2.96000,74.87000,121.18000,-8788.00000,,,,,,,,,,,,,,,,
0.33000,0.72000,0.04000,2.73000,2.96000,2.76000,2.97000,74.87000,121.18000,-17744.00000,,,,,,,,,,,,,,,,
