X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,43.73000,43.73000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,43.73000,43.73000
0.00000,0.70000,0.00000,0.00000,0.00000,2.92000,2.92000,61.22000,61.22000
0.00000,0.70000,0.00000,0.03000,0.00000,2.92000,2.92000,61.22000,61.22000
0.00000,0.70000,0.00000,0.00000,0.00000,2.91000,2.92000,78.28000,78.71000
0.00000,0.70000,0.00000,0.03000,0.00000,2.91000,2.92000,78.28000,78.71000
0.00000,0.70000,0.01000,0.67000,0.00000,2.91000,2.92000,95.58000,96.21000
0.00000,0.70000,0.04000,1.67000,0.03000,2.88000,2.91000,95.58000,96.21000
0.00000,0.70000,0.06000,1.03000,0.00000,2.82000,2.91000,86.74000,113.17000
0.01000,0.70000,0.08000,1.00000,0.03000,2.77000,2.90000,86.74000,113.17000
0.01000,0.70000,0.10000,1.14000,0.00000,2.73000,2.90000,102.42000,130.28000
0.01000,0.70000,0.10000,1.53000,1.42000,2.69000,2.89000,102.42000,130.28000
0.01000,0.70000,0.10000,1.84000,1.98000,2.69000,2.89000,104.15000,126.43000
0.02000,0.70000,0.09000,2.40000,2.65000,2.69000,2.89000,104.15000,126.43000
0.03000,0.70000,0.09000,2.65000,2.70000,2.70000,2.89000,98.30000,116.86000
0.03000,0.70000,0.09000,2.90000,2.90000,2.70000,2.89000,98.30000,116.86000
0.04000,0.70000,0.09000,2.96000,2.90000,2.70000,2.89000,92.57000,114.53000
0.04000,0.70000,0.09000,2.84000,2.98000,2.70000,2.89000,92.57000,114.53000
0.05000,0.70000,0.09000,2.82000,2.96000,2.70000,2.89000,92.21000,113.22000
0.06000,0.71000,0.09000,2.90000,2.93000,2.70000,2.89000,92.21000,113.22000
0.06000,0.71000,0.09000,2.84000,2.87000,2.70000,2.89000,90.56000,113.51000
0.07000,0.71000,0.09000,2.79000,2.90000,2.70000,2.89000,90.56000,113.51000
0.08000,0.71000,0.08000,2.96000,3.12000,2.71000,2.89000,91.09000,113.71000
0.08000,0.71000,0.08000,2.96000,3.18000,2.71000,2.89000,91.09000,113.71000
0.09000,0.71000,0.08000,3.07000,3.18000,2.72000,2.89000,88.26000,109.51000
0.10000,0.71000,0.08000,2.98000,3.12000,2.72000,2.89000,88.26000,109.51000
0.10000,0.71000,0.07000,2.79000,2.90000,2.72000,2.89000,86.50000,108.65000
0.11000,0.71000,0.07000,2.40000,2.54000,2.73000,2.90000,86.50000,108.65000
0.12000,0.71000,0.07000,2.43000,2.48000,2.73000,2.90000,93.84000,116.09000
0.12000,0.71000,0.07000,2.40000,2.57000,2.73000,2.90000,93.84000,116.09000
0.13000,0.71000,0.07000,2.76000,2.84000,2.74000,2.90000,95.93000,117.84000
0.13000,0.71000,0.06000,2.90000,3.01000,2.74000,2.90000,95.93000,117.84000
0.14000,0.71000,0.06000,2.96000,3.04000,2.74000,2.90000,90.51000,113.15000
0.15000,0.71000,0.05000,2.76000,3.15000,2.74000,2.90000,90.51000,113.15000
0.15000,0.71000,0.05000,2.96000,3.12000,2.76000,2.90000,91.90000,110.42000
0.16000,0.71000,0.05000,2.82000,2.93000,2.76000,2.90000,91.90000,110.42000
0.17000,0.71000,0.05000,3.04000,3.01000,2.77000,2.90000,91.17000,112.28000
