Dataset,Model,Neurons,R2_X,MSE_X,R2_Y,MSE_Y,R2_Theta,MSE_Theta
1,model_22_4,22,0.370089280044714,0.0640808741224826,-3.163946876934723,0.33191135934063376,-4.298552152493733,1.4980295883104198
1,model_20_7,20,0.7967824117174857,0.02067334350990357,-3.1864095167174584,0.3337018733709557,-2.429329489599783,0.969554870016356
1,model_24_6,24,0.7553970996031483,0.024883475028711122,-2.127363239315229,0.24928449247584336,-1.7195576806465267,0.7688851134187595
1,model_10_0,10,0.8506010964518004,0.015198363877643926,-0.8940802151846996,0.15097856853182165,0.3036604222073881,0.19687213809039728
2,model_22_4,22,-0.09381817282979288,0.10227975941235656,-24.075737500312844,1.313945428339728,-1.5776099866323303,7.632915185409225
2,model_20_7,20,-4.97275658032332,0.5584951148540649,-5.560684098397525,0.34377377246683294,-0.011919286904665594,2.996533273644874
2,model_24_6,24,-7.702359769595038,0.8137323786194346,-14.031727781818388,0.7876486184592234,-0.5549081294179259,4.604452160916948
2,model_10_0,10,-3.846406611113575,0.4531734016786025,-19.83658201233924,1.091817605643598,-1.1895157875182734,6.4836761146616855
3,model_22_4,22,0.801933380820695,0.015820867627081247,-8.943960184621476,0.5891591441969495,0.2236253359140845,0.31113554074191246
3,model_20_7,20,0.21773804537950203,0.06248434433340319,-5.904832252776523,0.40909707856238414,0.5313267751531856,0.1878228437756344
3,model_24_6,24,0.9243387152622313,0.0060435583506754376,-6.482119516859227,0.44330015904019593,0.5172677263873293,0.19345706903108084
3,model_10_0,10,0.6881241169994159,0.024911552898091084,-7.0632384545138365,0.47773025827920074,0.46751010082743494,0.2133976550016943
4,model_22_4,22,-0.3510339232656947,0.12587173690283945,-7.42175079780432,0.6230506713777979,-4.623345513681829,1.872389836248123
4,model_20_7,20,0.57654460809646,0.03945205576402759,-8.125540216088288,0.6751178103965324,-2.750355580754132,1.248745547403292
4,model_24_6,24,-0.037707135300289574,0.09668002947031101,-6.876059988296258,0.5826798466655144,-3.8221403750555645,1.6056147724247078
4,model_10_0,10,-0.5768019662661796,0.1469058613761428,-8.062568808319782,0.6704591142619944,-4.236106972832153,1.743452088011529
