,Dataset,Model,Neurons,R2_X,MSE_X,R2_Y,MSE_Y,R2_Theta,MSE_Theta
0,1,model_16_9,16,-1.1832607718423005,0.22142629216132184,-1.8672576139982908,0.22845917128771354,-10.183234357113097,3.1518006214722023
1,1,model_16_0,16,-3.2350137876889473,0.42951506863229316,-1.6368684206272865,0.210102074968842,-59.72019647691581,17.11293413699513
2,1,model_12_1,12,0.43468606237742025,0.057334135587137354,-0.8912281413392031,0.15069047572738076,-1.1759191911264821,0.6132450809728106
3,1,model_5_9,5,0.9276433790948477,0.00733840798450783,0.11460626779671201,0.07054696352883048,0.4372573054709662,0.15859926723411807
4,2,model_16_9,16,-51.745802713316735,4.915410348019503,-30.09594875229539,1.6272064722415842,-0.3896218638301199,4.1051337897995355
5,2,model_16_0,16,-10.935230981562169,1.1122507356962092,-1.596154763224999,0.13585306135252428,-18.018000268587816,56.18178408751681
6,2,model_12_1,12,-5.996840395785333,0.6520394024869217,-6.559486089048442,0.39557708269029235,0.17689150561320666,2.4315755105241514
7,2,model_5_9,5,-7.621931206599978,0.8034825084221165,-7.4830454695460435,0.44390562263664757,0.18943926548984702,2.3945077049601884
8,3,model_16_9,16,-0.3164797448262424,0.10462251308843776,-2.2194490915451106,0.19077262715329923,-64.97113393566148,26.34008751599568
9,3,model_16_0,16,-2.1694114396500197,0.2518776237390528,-1.0154854326652951,0.11943020064784735,-59.17674836145322,24.026581380495323
10,3,model_12_1,12,-3.8454444132662076,0.3850743420387004,-5.628374257091367,0.39277290456353847,0.21524307729540382,0.3133274326159308
11,3,model_5_9,5,0.33851310526606926,0.052569302014794796,-2.0672676290196224,0.18175491741958658,-0.9903478538983319,0.7946799385028727
12,4,model_16_9,16,-3.154550616880064,0.3854039344747609,-14.2585821053469,1.1290772905416147,-35.85988745106036,12.217118708333867
13,4,model_16_0,16,-5.031527660192972,0.5595248934233474,-1.1420759171436417,0.15850550568623767,-44.63309277883788,15.124975957880668
14,4,model_12_1,12,-0.0947922680395541,0.10156026161304847,-5.78035415344358,0.5017205297076726,-2.974473324617886,1.3173293725986739
15,4,model_5_9,5,0.8181335752877387,0.016871147350612927,0.6162923756773386,0.028392911073865514,0.4072108402779612,0.1964785037109302
