X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,-0.00000,0.03000,0.11000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,-0.00000,0.00000,0.00000,3.02000,3.02000,63.01000,61.68000
0.00000,0.70000,-0.00000,0.00000,0.00000,3.02000,3.02000,63.01000,61.68000
0.00000,0.70000,-0.00000,0.03000,0.00000,3.02000,3.02000,81.38000,80.77000
0.00000,0.70000,-0.00000,0.00000,0.00000,3.02000,3.02000,81.38000,80.77000
0.00000,0.70000,-0.00000,0.03000,0.00000,3.02000,3.02000,99.51000,98.89000
0.00000,0.70000,0.03000,1.56000,0.00000,3.02000,3.02000,99.51000,98.89000
0.01000,0.70000,0.08000,3.01000,0.00000,2.91000,3.00000,92.56000,116.79000
0.01000,0.70000,0.14000,3.24000,0.00000,2.72000,2.95000,92.56000,116.79000
0.01000,0.70000,0.20000,3.15000,0.00000,2.56000,2.87000,70.27000,132.83000
0.02000,0.70000,0.24000,2.37000,0.03000,2.43000,2.78000,70.27000,132.83000
0.02000,0.70000,0.26000,1.56000,0.28000,2.35000,2.71000,75.99000,147.27000
0.02000,0.70000,0.23000,1.48000,3.54000,2.30000,2.68000,75.99000,147.27000
0.03000,0.71000,0.16000,1.56000,5.27000,2.37000,2.73000,89.61000,110.99000
0.04000,0.71000,0.11000,2.17000,4.85000,2.51000,2.84000,89.61000,110.99000
0.05000,0.71000,0.08000,2.62000,4.21000,2.62000,2.91000,88.24000,89.10000
0.05000,0.71000,0.07000,2.76000,3.35000,2.70000,2.94000,88.24000,89.10000
0.06000,0.71000,0.07000,2.82000,2.65000,2.73000,2.96000,83.75000,100.73000
0.06000,0.71000,0.08000,2.70000,2.65000,2.72000,2.95000,83.75000,100.73000
0.07000,0.71000,0.07000,2.45000,2.96000,2.71000,2.95000,84.15000,108.76000
0.08000,0.71000,0.05000,2.45000,3.32000,2.74000,2.96000,84.15000,108.76000
0.08000,0.71000,0.03000,2.43000,3.57000,2.79000,2.98000,89.12000,100.93000
0.09000,0.71000,0.02000,2.65000,3.37000,2.86000,2.99000,89.12000,100.93000
0.10000,0.71000,0.01000,2.82000,3.21000,2.91000,3.00000,90.03000,98.45000
0.10000,0.71000,0.01000,2.93000,3.04000,2.94000,3.01000,90.03000,98.45000
0.11000,0.71000,0.01000,2.98000,2.96000,2.95000,3.01000,87.94000,101.33000
0.12000,0.71000,0.01000,2.90000,3.01000,2.94000,3.01000,87.94000,101.33000
0.12000,0.71000,0.00000,2.82000,3.09000,2.95000,3.01000,88.53000,101.58000
0.13000,0.71000,-0.00000,2.87000,3.09000,2.97000,3.01000,88.53000,101.58000
0.14000,0.71000,-0.01000,2.87000,3.10000,2.98000,3.02000,89.78000,100.40000
0.14000,0.71000,-0.01000,2.90000,3.12000,3.00000,3.02000,89.78000,100.40000
0.15000,0.71000,-0.01000,2.90000,3.09000,3.02000,3.02000,90.53000,99.59000
0.16000,0.71000,-0.02000,2.96000,3.01000,3.02000,3.01000,90.53000,99.59000
0.16000,0.71000,-0.01000,3.01000,2.96000,3.02000,3.01000,90.42000,100.43000
